"where","category","typeID","valueID","syntax","format","valueCurrent","dateAdded","dateStopped","valueName","valueDescription","valueConditional","caseSensitive","type","typeDescription","typeCurrent","associatedType","associatedType_leftright","typeExample","typeExample_explained","dateIntroduced","categoryDescription","sorting.from.left","shorthand.unit","connectorDescription"
"c00 count taxon","count",1,1,"blackbird","shorthand","current","","","taxon name","A taxon name, which can be a recognised scientific name (without the taxonomic authority) or a common name, or an abbreviated code.","all","no","taxon name","Taxon names can be full scientific or common names or abbreviated names. All names other than scientific names must be included in your taxon dictionary alongside their corresponding scientific names.","current","","","blkb 1","One blackbird seen.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",0,"count taxon",""
"c00 count taxon","count",1,1,"blkb","shorthand","current","","","taxon name","A taxon name, which can be a recognised scientific name (without the taxonomic authority) or a common name, or an abbreviated code.","all","no","taxon name","Taxon names can be full scientific or common names or abbreviated names. All names other than scientific names must be included in your taxon dictionary alongside their corresponding scientific names.","current","","","blkb 1","One blackbird seen.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",0,"count taxon",""
"c00 count taxon","count",1,1,"Turdus merula","shorthand","current","","","taxon name","A taxon name, which can be a recognised scientific name (without the taxonomic authority) or a common name, or an abbreviated code.","all","no","taxon name","Taxon names can be full scientific or common names or abbreviated names. All names other than scientific names must be included in your taxon dictionary alongside their corresponding scientific names.","current","","","blkb 1","One blackbird seen.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",0,"count taxon",""
"c01 shorthand separator","count",7,33," ","shorthand","current","","","space","a space","all","no","shorthand separator","Count category and roadkill category shorthand are space delimited.","current","","","blkb 1","One blackbird.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",1,"shorthand separator",""
"c02 count taxon modifier","count",9,35,"?","shorthand","current","","","question mark","When placed after a taxon name, a question mark means that the identification is uncertain. Other plausible taxon IDs should be listed in the comments prefaced by "" or "".","all","no","taxon uncertain added to name","A question mark (?) can be added directly after a taxon name to indicate that this ID is uncertain. This means the same as when ? is placed after a count. In the former case, it applies to all counts on that shorthand line, and so can be a quicker way to enter uncertainty.","current","taxon name","right of","blkb? 1,2 (or thrush)","One blackbird seen, and two blackbirds seen more than 20 m away, seen from the same spot. All could also have been thrushes.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",2,"count taxon modifier",""
"c02 count taxon modifier","count",9,310,"??","shorthand","current","13/8/2010","","double question mark","It is not only unclear if the identification is correct, but it is also unclear if the observation was of a living organism at all. (This level of uncertainty is most often encountered with roadkill observed from a moving car.)","all","no","taxon uncertain added to name","A question mark (?) can be added directly after a taxon name to indicate that this ID is uncertain. This means the same as when ? is placed after a count. In the former case, it applies to all counts on that shorthand line, and so can be a quicker way to enter uncertainty.","current","taxon name","right of","blkb? 1,2 (or thrush)","One blackbird seen, and two blackbirds seen more than 20 m away, seen from the same spot. All could also have been thrushes.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",2,"count taxon modifier",""
"c02 count taxon modifier","count",17,60,"knock","shorthand","current","","","knock","The sound of banding from an animals activity nearby (created for woodpeckers).","all","no","non-vocalisation noise","Sometimes I hear sign of an animal nearby but don't see it. For example, the rustle of a blackbird foraging in leaf litter nearby, or the wing whoosh of a kerery flying past, or, when in the USA, the sound of a woodpecker banging on a tree. These are added as modifiers after the taxon name (they don't have codes because they are used infrequently).","current","","","skink rustle 1?","Rustling heard consistent with a skink.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",2,"count taxon modifier",""
"c02 count taxon modifier","count",17,58,"rustle","shorthand","current","","","rustle","A rustling sound heard consistent with an animals movement in leaves.","all","no","non-vocalisation noise","Sometimes I hear sign of an animal nearby but don't see it. For example, the rustle of a blackbird foraging in leaf litter nearby, or the wing whoosh of a kerery flying past, or, when in the USA, the sound of a woodpecker banging on a tree. These are added as modifiers after the taxon name (they don't have codes because they are used infrequently).","current","","","skink rustle 1?","Rustling heard consistent with a skink.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",2,"count taxon modifier",""
"c02 count taxon modifier","count",17,59,"wings","shorthand","current","","","wings","The sound of beating wings heard.","all","no","non-vocalisation noise","Sometimes I hear sign of an animal nearby but don't see it. For example, the rustle of a blackbird foraging in leaf litter nearby, or the wing whoosh of a kerery flying past, or, when in the USA, the sound of a woodpecker banging on a tree. These are added as modifiers after the taxon name (they don't have codes because they are used infrequently).","current","","","skink rustle 1?","Rustling heard consistent with a skink.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",2,"count taxon modifier",""
"c02 count taxon modifier","count",41,200,"field","shorthand","current","","","field","The taxon is present in a field","all","no","in field","When plants are abundant in fields in farmland (for example Brassica as crops or weeds in fields), I record their presence per field, rather than paces. A field is a plot of fenced farmland containing one crop type/land use. The size of a field isn't standardised and so recording in paces is preferred when possible.","current","","","Brassica field lyes","Brassica growing in field on left","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",2,"count taxon modifier",""
"c03 count taxon state","count",2,4,"dead","shorthand","current","","","dead","It's dead, and there are remains present.","all","no","dead","If something is dead, the word ""dead"" can be placed after the taxon name when using the count category of shorthand.","current","","","blkb dead 1","One dead blackbird seen.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",3,"count taxon state",""
"c03 count taxon state","count",2,304,"gone","shorthand","current","","","gone","It was here but now it's gone. This is used for usual immobile individuals (eg plants, roadkill) that have been previously recorded at this location but are no longer there. If there's no sign of a carcass or remains, then it's ""gone"" rather than ""dead"".","all","no","dead","If something is dead, the word ""dead"" can be placed after the taxon name when using the count category of shorthand.","current","","","blkb dead 1","One dead blackbird seen.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",3,"count taxon state",""
"c03 count taxon state","count",24,98,"footprint","shorthand","current","","","footprint","","all","no","animal sign","Unambiguous sign of the taxon's presence even when it is absent.","current","","","blkb nest 1","One blackbird nest observed.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",3,"count taxon state",""
"c03 count taxon state","count",24,96,"nest","shorthand","current","","","nest","","all","no","animal sign","Unambiguous sign of the taxon's presence even when it is absent.","current","","","blkb nest 1","One blackbird nest observed.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",3,"count taxon state",""
"c03 count taxon state","count",24,97,"poo","shorthand","current","","","poo","scat, faeces","all","no","animal sign","Unambiguous sign of the taxon's presence even when it is absent.","current","","","blkb nest 1","One blackbird nest observed.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",3,"count taxon state",""
"c03 count taxon state","count",24,202,"tunnel","shorthand","current","","","tunnel","","all","no","animal sign","Unambiguous sign of the taxon's presence even when it is absent.","current","","","blkb nest 1","One blackbird nest observed.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",3,"count taxon state",""
"c03 count taxon state","count",25,103,"adult","shorthand","current","","","adult","Adult(s) observed.","all","no","invertebrate stage","Stages of invertebrates are included between the species name and the count. Options are “egg”, “larva”, “nymph”, “pupa”, and “adult”. When no stage is included for insects, adult is implied.","current","","","ra larva 1","One larva observed of a red admiral.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",3,"count taxon state",""
"c03 count taxon state","count",25,99,"egg","shorthand","current","","","egg","Egg(s) observed.","all","no","invertebrate stage","Stages of invertebrates are included between the species name and the count. Options are “egg”, “larva”, “nymph”, “pupa”, and “adult”. When no stage is included for insects, adult is implied.","current","","","ra larva 1","One larva observed of a red admiral.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",3,"count taxon state",""
"c03 count taxon state","count",25,100,"larva","shorthand","current","","","larva","Lava(e) observed.","all","no","invertebrate stage","Stages of invertebrates are included between the species name and the count. Options are “egg”, “larva”, “nymph”, “pupa”, and “adult”. When no stage is included for insects, adult is implied.","current","","","ra larva 1","One larva observed of a red admiral.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",3,"count taxon state",""
"c03 count taxon state","count",25,101,"nymph","shorthand","current","","","nymph","Nymph(s) observed.","all","no","invertebrate stage","Stages of invertebrates are included between the species name and the count. Options are “egg”, “larva”, “nymph”, “pupa”, and “adult”. When no stage is included for insects, adult is implied.","current","","","ra larva 1","One larva observed of a red admiral.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",3,"count taxon state",""
"c03 count taxon state","count",25,102,"pupa","shorthand","current","","","pupa","Pupa(e) observed. Includes fly puparia.","all","no","invertebrate stage","Stages of invertebrates are included between the species name and the count. Options are “egg”, “larva”, “nymph”, “pupa”, and “adult”. When no stage is included for insects, adult is implied.","current","","","ra larva 1","One larva observed of a red admiral.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",3,"count taxon state",""
"c04 count prefix","count",5,14,"l","shorthand","current","","","left","the observed organism is to the left of the observer","all","no","position left right","Where the counted individual(s) are relative to the motion of the observer.","current","geotagged distance band","left of","blkb rm1","One blackbird seen mid-distance to the right.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",4,"count prefix",""
"c04 count prefix","count",5,15,"o","shorthand","current","","","over","the observed organism past over the path of the observer","all","no","position left right","Where the counted individual(s) are relative to the motion of the observer.","current","geotagged distance band","left of","blkb rm1","One blackbird seen mid-distance to the right.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",4,"count prefix",""
"c04 count prefix","count",5,16,"r","shorthand","current","","","right","the observed organism is to the right of the observer","all","no","position left right","Where the counted individual(s) are relative to the motion of the observer.","current","geotagged distance band","left of","blkb rm1","One blackbird seen mid-distance to the right.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",4,"count prefix",""
"c04 count prefix","count",6,21,"_e","shorthand","current","","","east","east","all","no","initial position compass bearing","Where the individual(s) are relative to the observer when first observed.","current","geotagged distance band","right of","blkb n_ne1","One blackbird seen near to the northeast.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",4,"count prefix",""
"c04 count prefix","count",6,20,"_ene","shorthand","current","","","east-northeast","east-northeast","all","no","initial position compass bearing","Where the individual(s) are relative to the observer when first observed.","current","geotagged distance band","right of","blkb n_ne1","One blackbird seen near to the northeast.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",4,"count prefix",""
"c04 count prefix","count",6,22,"_ese","shorthand","current","","","east-southeast","east-southeast","all","no","initial position compass bearing","Where the individual(s) are relative to the observer when first observed.","current","geotagged distance band","right of","blkb n_ne1","One blackbird seen near to the northeast.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",4,"count prefix",""
"c04 count prefix","count",6,17,"_n","shorthand","current","","","north","north","all","no","initial position compass bearing","Where the individual(s) are relative to the observer when first observed.","current","geotagged distance band","right of","blkb n_ne1","One blackbird seen near to the northeast.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",4,"count prefix",""
"c04 count prefix","count",6,19,"_ne","shorthand","current","","","northeast","northeast","all","no","initial position compass bearing","Where the individual(s) are relative to the observer when first observed.","current","geotagged distance band","right of","blkb n_ne1","One blackbird seen near to the northeast.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",4,"count prefix",""
"c04 count prefix","count",6,18,"_nne","shorthand","current","","","north-northeast","north-northeast","all","no","initial position compass bearing","Where the individual(s) are relative to the observer when first observed.","current","geotagged distance band","right of","blkb n_ne1","One blackbird seen near to the northeast.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",4,"count prefix",""
"c04 count prefix","count",6,32,"_nnw","shorthand","current","","","north-northwest","north-northwest","all","no","initial position compass bearing","Where the individual(s) are relative to the observer when first observed.","current","geotagged distance band","right of","blkb n_ne1","One blackbird seen near to the northeast.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",4,"count prefix",""
"c04 count prefix","count",6,31,"_nw","shorthand","current","","","northwest","northwest","all","no","initial position compass bearing","Where the individual(s) are relative to the observer when first observed.","current","geotagged distance band","right of","blkb n_ne1","One blackbird seen near to the northeast.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",4,"count prefix",""
"c04 count prefix","count",6,25,"_s","shorthand","current","","","south","south","all","no","initial position compass bearing","Where the individual(s) are relative to the observer when first observed.","current","geotagged distance band","right of","blkb n_ne1","One blackbird seen near to the northeast.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",4,"count prefix",""
"c04 count prefix","count",6,23,"_se","shorthand","current","","","southeast","southeast","all","no","initial position compass bearing","Where the individual(s) are relative to the observer when first observed.","current","geotagged distance band","right of","blkb n_ne1","One blackbird seen near to the northeast.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",4,"count prefix",""
"c04 count prefix","count",6,24,"_sse","shorthand","current","","","south-southeast","south-southeast","all","no","initial position compass bearing","Where the individual(s) are relative to the observer when first observed.","current","geotagged distance band","right of","blkb n_ne1","One blackbird seen near to the northeast.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",4,"count prefix",""
"c04 count prefix","count",6,26,"_ssw","shorthand","current","","","south-southwest","south-southwest","all","no","initial position compass bearing","Where the individual(s) are relative to the observer when first observed.","current","geotagged distance band","right of","blkb n_ne1","One blackbird seen near to the northeast.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",4,"count prefix",""
"c04 count prefix","count",6,27,"_sw","shorthand","current","","","southwest","southwest","all","no","initial position compass bearing","Where the individual(s) are relative to the observer when first observed.","current","geotagged distance band","right of","blkb n_ne1","One blackbird seen near to the northeast.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",4,"count prefix",""
"c04 count prefix","count",6,29,"_w","shorthand","current","","","west","west","all","no","initial position compass bearing","Where the individual(s) are relative to the observer when first observed.","current","geotagged distance band","right of","blkb n_ne1","One blackbird seen near to the northeast.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",4,"count prefix",""
"c04 count prefix","count",6,30,"_wnw","shorthand","current","","","west-northwest","west-northwest","all","no","initial position compass bearing","Where the individual(s) are relative to the observer when first observed.","current","geotagged distance band","right of","blkb n_ne1","One blackbird seen near to the northeast.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",4,"count prefix",""
"c04 count prefix","count",6,28,"_wsw","shorthand","current","","","west-southwest","west-southwest","all","no","initial position compass bearing","Where the individual(s) are relative to the observer when first observed.","current","geotagged distance band","right of","blkb n_ne1","One blackbird seen near to the northeast.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",4,"count prefix",""
"c04 count prefix","count",28,111,"c","shorthand","current","","","close initial distance","first observed **close**, < 5 m","all","no","initial distance band","This is the distance where the organism is first detected. It can be a different to the distance from the observer when the observation is date-time stamped and geotagged (which is typically done as close as is got to the organism). The first distance is useful for determining how detection probability varies with distance. The second distance is more useful for mapping. Between these two distances is whether the animal is on the left (“l”) or right (“r”) of me, or passes over (“o”). If only one distance category is provided, it means that the distance first seen and date-time-geo-stamped are the same. ","current","position left right","left of","blkb nlc1","One blackbird initially seen in the near distance band, on the left, and geotagged when in the close distance band.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",4,"count prefix",""
"c04 count prefix","count",28,117,"d","shorthand","current","","","distant initial distance","first observed **distant**,  >320 m","all","no","initial distance band","This is the distance where the organism is first detected. It can be a different to the distance from the observer when the observation is date-time stamped and geotagged (which is typically done as close as is got to the organism). The first distance is useful for determining how detection probability varies with distance. The second distance is more useful for mapping. Between these two distances is whether the animal is on the left (“l”) or right (“r”) of me, or passes over (“o”). If only one distance category is provided, it means that the distance first seen and date-time-geo-stamped are the same. ","current","position left right","left of","blkb nlc1","One blackbird initially seen in the near distance band, on the left, and geotagged when in the close distance band.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",4,"count prefix",""
"c04 count prefix","count",28,116,"f","shorthand","current","","","far initial distance","first observed **far**, >80--<320 m","all","no","initial distance band","This is the distance where the organism is first detected. It can be a different to the distance from the observer when the observation is date-time stamped and geotagged (which is typically done as close as is got to the organism). The first distance is useful for determining how detection probability varies with distance. The second distance is more useful for mapping. Between these two distances is whether the animal is on the left (“l”) or right (“r”) of me, or passes over (“o”). If only one distance category is provided, it means that the distance first seen and date-time-geo-stamped are the same. ","current","position left right","left of","blkb nlc1","One blackbird initially seen in the near distance band, on the left, and geotagged when in the close distance band.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",4,"count prefix",""
"c04 count prefix","count",28,112,"k","shorthand","current","","","near-in initial distance","first observed **near-in**, >5--<10 m","all","no","initial distance band","This is the distance where the organism is first detected. It can be a different to the distance from the observer when the observation is date-time stamped and geotagged (which is typically done as close as is got to the organism). The first distance is useful for determining how detection probability varies with distance. The second distance is more useful for mapping. Between these two distances is whether the animal is on the left (“l”) or right (“r”) of me, or passes over (“o”). If only one distance category is provided, it means that the distance first seen and date-time-geo-stamped are the same. ","current","position left right","left of","blkb nlc1","One blackbird initially seen in the near distance band, on the left, and geotagged when in the close distance band.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",4,"count prefix",""
"c04 count prefix","count",28,115,"m","shorthand","current","","","mid initial distance","first observed **mid**,  >20--<80 m","all","no","initial distance band","This is the distance where the organism is first detected. It can be a different to the distance from the observer when the observation is date-time stamped and geotagged (which is typically done as close as is got to the organism). The first distance is useful for determining how detection probability varies with distance. The second distance is more useful for mapping. Between these two distances is whether the animal is on the left (“l”) or right (“r”) of me, or passes over (“o”). If only one distance category is provided, it means that the distance first seen and date-time-geo-stamped are the same. ","current","position left right","left of","blkb nlc1","One blackbird initially seen in the near distance band, on the left, and geotagged when in the close distance band.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",4,"count prefix",""
"c04 count prefix","count",28,114,"n","shorthand","current","","","near initial distance","first observed **near**, >5--<20 m","all","no","initial distance band","This is the distance where the organism is first detected. It can be a different to the distance from the observer when the observation is date-time stamped and geotagged (which is typically done as close as is got to the organism). The first distance is useful for determining how detection probability varies with distance. The second distance is more useful for mapping. Between these two distances is whether the animal is on the left (“l”) or right (“r”) of me, or passes over (“o”). If only one distance category is provided, it means that the distance first seen and date-time-geo-stamped are the same. ","current","position left right","left of","blkb nlc1","One blackbird initially seen in the near distance band, on the left, and geotagged when in the close distance band.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",4,"count prefix",""
"c04 count prefix","count",28,113,"t","shorthand","current","","","near-out initial distance","first observed **near-out**, >10--<20 m","all","no","initial distance band","This is the distance where the organism is first detected. It can be a different to the distance from the observer when the observation is date-time stamped and geotagged (which is typically done as close as is got to the organism). The first distance is useful for determining how detection probability varies with distance. The second distance is more useful for mapping. Between these two distances is whether the animal is on the left (“l”) or right (“r”) of me, or passes over (“o”). If only one distance category is provided, it means that the distance first seen and date-time-geo-stamped are the same. ","current","position left right","left of","blkb nlc1","One blackbird initially seen in the near distance band, on the left, and geotagged when in the close distance band.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",4,"count prefix",""
"c04 count prefix","count",29,119,"c","shorthand","current","","","close geotagged distance","datestamp/geotag made close, < 5 m","all","no","geotagged distance band","This is the distance band the organism(s) were in when the observation was date-stamped and geotagged. In can be closer than the initial distance when first observed. If only one distance band is provided in the shorthand, it means that the initial and geotagged distances were the same.","current","initial position compass bearing","left of","blkb nlc1","One blackbird initially seen in the near distance band, on the left, and geotagged when in the close distance band.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",4,"count prefix",""
"c04 count prefix","count",29,125,"d","shorthand","current","","","distant geotagged distance","datestamp/geotag made distant,  >320 m","all","no","geotagged distance band","This is the distance band the organism(s) were in when the observation was date-stamped and geotagged. In can be closer than the initial distance when first observed. If only one distance band is provided in the shorthand, it means that the initial and geotagged distances were the same.","current","initial position compass bearing","left of","blkb nlc1","One blackbird initially seen in the near distance band, on the left, and geotagged when in the close distance band.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",4,"count prefix",""
"c04 count prefix","count",29,124,"f","shorthand","current","","","far geotagged distance","datestamp/geotag made far, >80--<320 m","all","no","geotagged distance band","This is the distance band the organism(s) were in when the observation was date-stamped and geotagged. In can be closer than the initial distance when first observed. If only one distance band is provided in the shorthand, it means that the initial and geotagged distances were the same.","current","initial position compass bearing","left of","blkb nlc1","One blackbird initially seen in the near distance band, on the left, and geotagged when in the close distance band.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",4,"count prefix",""
"c04 count prefix","count",29,120,"k","shorthand","current","","","near-in geotagged distance","datestamp/geotag made near-in, >5--<10 m","all","no","geotagged distance band","This is the distance band the organism(s) were in when the observation was date-stamped and geotagged. In can be closer than the initial distance when first observed. If only one distance band is provided in the shorthand, it means that the initial and geotagged distances were the same.","current","initial position compass bearing","left of","blkb nlc1","One blackbird initially seen in the near distance band, on the left, and geotagged when in the close distance band.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",4,"count prefix",""
"c04 count prefix","count",29,123,"m","shorthand","current","","","mid geotagged distance","datestamp/geotag made mid,  >20--<80 m","all","no","geotagged distance band","This is the distance band the organism(s) were in when the observation was date-stamped and geotagged. In can be closer than the initial distance when first observed. If only one distance band is provided in the shorthand, it means that the initial and geotagged distances were the same.","current","initial position compass bearing","left of","blkb nlc1","One blackbird initially seen in the near distance band, on the left, and geotagged when in the close distance band.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",4,"count prefix",""
"c04 count prefix","count",29,122,"n","shorthand","current","","","near geotagged distance","datestamp/geotag made near, >5--<20 m","all","no","geotagged distance band","This is the distance band the organism(s) were in when the observation was date-stamped and geotagged. In can be closer than the initial distance when first observed. If only one distance band is provided in the shorthand, it means that the initial and geotagged distances were the same.","current","initial position compass bearing","left of","blkb nlc1","One blackbird initially seen in the near distance band, on the left, and geotagged when in the close distance band.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",4,"count prefix",""
"c04 count prefix","count",29,121,"t","shorthand","current","","","near-out geotagged distance","datestamp/geotag made near-out, >10--<20 m","all","no","geotagged distance band","This is the distance band the organism(s) were in when the observation was date-stamped and geotagged. In can be closer than the initial distance when first observed. If only one distance band is provided in the shorthand, it means that the initial and geotagged distances were the same.","current","initial position compass bearing","left of","blkb nlc1","One blackbird initially seen in the near distance band, on the left, and geotagged when in the close distance band.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",4,"count prefix",""
"c04 count prefix","count",30,127,"=a","shorthand","current","","","ahead","the organism observed is ahead of the observer","all","no","position ahead behind","Used when the individual(s) observed are ahead or behind the observer at the time the observation is made. This can be appropriate when you are moving while surveying.","current","geotagged distance band","right of","blkb rm=a1","One blackbird seen on the right at mid-distance ahead.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",4,"count prefix",""
"c04 count prefix","count",30,128,"=b","shorthand","current","","","behind","the organism observed is behind the observer","all","no","position ahead behind","Used when the individual(s) observed are ahead or behind the observer at the time the observation is made. This can be appropriate when you are moving while surveying.","current","geotagged distance band","right of","blkb rm=a1","One blackbird seen on the right at mid-distance ahead.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",4,"count prefix",""
"c04 count prefix","count",54,273,"i","shorthand","current","23/8/2020","","inner estimate of distance band","When an observation is at a distance band boundary, enter the inner distance followed by ""i"". For example, if the observation was at about 80 m, enter ""mi"".","all","no","inner estimate of distance band","This shorthand code is used when my visual estimate of distance is at the boundary of one of my distance bands. The rule is to use the inner distance band, since this is plausible, and follow this by ""i"" to indicate that there is uncertainty.","current","initial distance band","right of","swp lmi2","two spur winged plovers about 80 m away on the left, plausibly within 80 m.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",4,"count prefix",""
"c05 count modifier before","count",26,104,"~","shorthand","current","","","about this many","About (an estimate of the exact count). I use the rule of thumb that the count I make is a conservative estimate and the true count could be up to 1.5 times this value (rounded up to the nearest whole number). So, ""~1"" means 1–2, ""~2"" means 2–3, and ""~10"" means 10–15.","all","no","count approximate","When visibility or time or movement prevents you from counting all individuals exactly, you can indicate that the count is approximate.","current","","","blkb ~5","About 5 blackbirds observed.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",5,"count modifier before",""
"c06 count","count",22,94,"no","shorthand","current","","","no","The taxon was sought but not found.","all","no","presence/absence","At it's simplest, a taxon can be present or absent in a survey. This is indicated with ""yes"" or ""no"" as the count.","current","","","blkb yes","Blackbirds were present.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",6,"count",""
